,이름,포지션,출전,클린시트,실점,태클 횟수,태클 성공률,슛 블록 횟수,인터셉트 횟수,걷어내기 횟수,해딩 걷어내기 횟수,라인 밖으로 걷어내기 횟수,볼 소유권 가져오기 횟수,경합 승리,경합 실패,공중볼 경합 승리,공중볼 경합 패배,자책골,실점으로 이어진 실책,어시스트,패스 횟수,경기당 평균 패스 횟수,결정적 기회 창출 횟수,크로스 횟수,크로스 성공률,스루패스 횟수,긴 패스 성공률,경고,퇴장,반칙,옵사이드,골,해딩 골,오른발 골,왼발 골,골포스트,경기당 골,페널티킥 골,프리킥 골,슈팅 횟수,유효 수팅,슈팅 성공률,결정적 찬스 놓친 횟수,선방,페널티킥 선방,펀칭,공중볼 처리,캐칭,던지기 횟수,골킥
532,J체rgen Locadia ,공격수,2,,,0,,0,0,0,0,,,,,,,,,0,19,9.5,0,1,,,,0,0,0,0,0,0,0,0,1,0,0,0,2,1,50%,1,,,,,,,
533,Ruben Loftus-Cheek ,미드필더,7,,,0,0%,0,2,2,1,,13,9,11,2,3,,0,1,132,18.86,1,1,0%,1,5,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0%,1,,,,,,,
534,Andy Lonergan ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
535,Kevin Long ,수비수,8,2,5,7,71%,1,4,30,15,0,23,40,35,28,23,0,0,0,200,25,0,0,0%,0,11,0,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,
536,Ryan Longman ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
537,Luis Longstaff ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
538,Ademola Lookman ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
539,Jonas L철ssl ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
540,Dejan Lovren ,수비수,10,0,11,13,62%,1,10,41,18,0,51,70,36,49,27,0,0,1,680,68,1,0,0%,2,28,1,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,
541,Matthew Lowton ,수비수,17,6,31,41,54%,0,27,52,30,0,72,82,47,22,14,0,1,1,551,32.41,2,45,20%,2,41,2,0,14,0,0,0,0,0,0,,,,,,,,,,,,,,
